;Symbol;Stock;;
0;247.ST;24SevenOffice;;
1;AAK.ST;AAK;;
2;ARISE.ST;Arise;;
3;ASAI.ST;Artificial Solutions International;;
4;ASSA-B.ST;Assa Abloy;;
5;AZN.ST;Astra Zeneca;;
6;AZA.ST;Avanza;;
7;AXFO.ST;Axfood;;
8;AZELIO.ST;Azelio;;
9;BHG.ST;BHG Group;;
10;BIOT.ST;Biotage;;
11;BRAV.ST;Bravida Holding;;
12;BURE.ST;Bure Equity;;
13;CAST.ST;Castellum;;
14;EQT.ST;EQT;;
15;ESSITY-B.ST;Essity;;
16;EVO.ST;Evolution Gaming Group;;
17;FABG.ST;Fabege;;
18;FPIP.ST;Formpipe Software;;
19;FNOX.ST;Fortnox;;
20;GARO.ST;Garo;;
21;GETI-B.ST;Getinge;;
22;HEBA-B.ST;Heba;;
23;HOVD.ST;Hövding;;
24;INSTAL.ST;Instalco;;
25;INVE-A.ST;Investor A;;
26;INWI.ST;Inwido;;
27;ITAB-B.ST;ITAB Shop Concept;;
28;KINV-B.ST;Kinnevik;;
29;LATO-B.ST;Latour;;
30;LUMI.ST;Lundin Mining Corporation;;
31;TIGO-SDB.ST;Millicom Int. Cellular;;
32;MYCR.ST;Mycronic;;
33;NIBE-B.ST;NIBE Industrier;;
34;NWG.ST;Nordic Waterproofing Holding;;
35;NYF.ST;Nyfosa;;
36;PDX.ST;Paradox Interactive;;
37;PRIC-B.ST;Pricer;;
38;SBB-B.ST;Samhällsbygnadsbo. i Norden;;
39;STW.ST;Sea Twirl;;
40;SECU-B.ST;Securitas;;
41;STWK.ST;Stockwik Förvaltning;;
42;TEL2-B.ST;Tele2;;
43;THULE.ST;Thule Group;;
44;VOLO.ST;Volati;;
45;ZETA.ST;ZetaDisplay;;
46;ORES.ST;Öresund;;