Symbol;Stock
247.ST;24SevenOffice
AAK.ST;AAK
ARISE.ST;Arise
ASAI.ST;Artificial Solutions International
ASSA-B.ST;Assa Abloy
AZN.ST;Astra Zeneca
AZA.ST;Avanza
AXFO.ST;Axfood
AZELIO.ST;Azelio
BHG.ST;BHG Group
BIOT.ST;Biotage
BRAV.ST;Bravida Holding
BURE.ST;Bure Equity
CAST.ST;Castellum
EQT.ST;EQT
ESSITY-B.ST;Essity
EVO.ST;Evolution Gaming Group
FABG.ST;Fabege
FPIP.ST;Formpipe Software
FNOX.ST;Fortnox
GARO.ST;Garo
GETI-B.ST;Getinge
HEBA-B.ST;Heba
HOVD.ST;Hövding
INSTAL.ST;Instalco
INVE-A.ST;Investor A
INWI.ST;Inwido
ITAB-B.ST;ITAB Shop Concept
KINV-B.ST;Kinnevik
LATO-B.ST;Latour
LUMI.ST;Lundin Mining Corporation
TIGO-SDB.ST;Millicom Int. Cellular
MYCR.ST;Mycronic
NIBE-B.ST;NIBE Industrier
NWG.ST;Nordic Waterproofing Holding
NYF.ST;Nyfosa
PDX.ST;Paradox Interactive
PRIC-B.ST;Pricer
SBB-B.ST;Samhällsbygnadsbo. i Norden
STW.ST;Sea Twirl
SECU-B.ST;Securitas
STWK.ST;Stockwik Förvaltning
TEL2-B.ST;Tele2
THULE.ST;Thule Group
VOLO.ST;Volati
ZETA.ST;ZetaDisplay
ORES.ST;Öresund